;;;difficulty;difficulty;precision;precision
;;;mean;std;mean;std
ClassID;Tag;count;;;;
0;pan;19;4.11;1.2;4.16;1.07
1;pan;19;4.05;1.13;4.0;1.0
2;pan;18;4.0;1.03;4.28;0.83
3;pan;18;4.33;0.97;4.17;0.86
4;ZoomIn;19;4.63;0.83;4.42;0.77
5;ZoomOut;19;4.42;0.77;4.58;0.69
6;rotate45;19;4.11;0.99;4.29;0.87
8;pitch;19;3.84;1.26;3.79;1.36
9;resetView;18;3.94;1.06;4.06;1.0
10;addMarker;19;3.76;1.16;3.74;1.33
11;removeMarker;19;4.32;1.11;4.53;0.84
12;showMenu;16;4.84;0.51;4.88;0.34
13;hideMenu;18;4.28;0.75;4.44;0.78
14;showHelp;19;4.63;0.5;4.63;0.83
15;hideHelp;17;4.29;1.05;4.24;1.2
16;showSearch;18;4.69;0.62;4.89;0.32
17;hideSearch;18;4.33;0.91;4.44;0.86
18;locateion;19;4.32;0.75;4.37;1.01
19;satelite;19;4.11;1.1;4.21;1.18
20;streets;17;3.59;1.0;3.53;1.28
21;measureDistance;19;3.63;1.16;3.47;1.22
22;next;19;3.76;1.08;3.66;0.94
23;previous;19;4.13;0.85;4.24;0.95
24;accept;19;4.16;1.07;4.32;1.11
25;reject;19;4.42;1.02;4.58;0.69
26;selectSingle;19;4.11;1.2;4.16;1.07
