ParticipantID,ClassID,Tag,difficulty,precision
0,0,pan,4.0,4.0
0,1,pan,5.0,5.0
0,2,pan,3.0,4.0
0,3,pan,4.0,4.0
0,4,ZoomIn,5.0,5.0
0,5,ZoomOut,5.0,5.0
0,6,rotate45,3.0,5.0
0,8,pitch,2.0,3.0
0,9,resetView,4.0,4.0
0,10,addMarker,3.0,3.0
0,11,removeMarker,5.0,5.0
0,12,showMenu,5.0,5.0
0,13,hideMenu,5.0,5.0
0,14,showHelp,4.0,4.0
0,15,hideHelp,3.0,4.0
0,16,showSearch,5.0,5.0
0,17,hideSearch,5.0,5.0
0,18,locateion,3.0,4.0
0,19,satelite,4.0,5.0
0,20,streets,3.0,4.0
0,21,measureDistance,2.0,4.0
0,22,next,4.0,4.0
0,23,previous,4.0,4.0
0,24,accept,5.0,5.0
0,25,reject,5.0,5.0
0,26,selectSingle,3.0,2.0
1,0,pan,4.0,4.0
1,1,pan,4.0,4.0
1,2,pan,4.0,5.0
1,3,pan,3.0,3.0
1,4,ZoomIn,5.0,5.0
1,5,ZoomOut,5.0,5.0
1,6,rotate45,3.0,4.0
1,8,pitch,1.0,2.0
1,9,resetView,4.0,4.0
1,10,addMarker,4.0,4.0
1,11,removeMarker,5.0,4.0
1,12,showMenu,5.0,5.0
1,13,hideMenu,5.0,5.0
1,14,showHelp,5.0,5.0
1,15,hideHelp,5.0,5.0
1,16,showSearch,5.0,5.0
1,17,hideSearch,5.0,5.0
1,18,locateion,3.0,4.0
1,19,satelite,4.0,5.0
1,20,streets,2.0,3.0
1,21,measureDistance,3.0,3.0
1,22,next,4.0,4.0
1,23,previous,4.0,4.0
1,24,accept,5.0,5.0
1,25,reject,5.0,5.0
1,26,selectSingle,3.0,3.0
2,0,pan,5.0,5.0
2,1,pan,5.0,5.0
2,2,pan,3.0,3.0
2,3,pan,4.0,3.0
2,4,ZoomIn,5.0,5.0
2,5,ZoomOut,5.0,5.0
2,6,rotate45,4.0,5.0
2,8,pitch,5.0,5.0
2,9,resetView,5.0,5.0
2,10,addMarker,3.0,3.0
2,11,removeMarker,5.0,5.0
2,12,showMenu,5.0,5.0
2,13,hideMenu,4.0,5.0
2,14,showHelp,5.0,5.0
2,15,hideHelp,5.0,5.0
2,16,showSearch,5.0,5.0
2,17,hideSearch,5.0,5.0
2,18,locateion,4.0,5.0
2,19,satelite,5.0,5.0
2,20,streets,3.0,2.0
2,21,measureDistance,3.0,1.0
2,22,next,3.0,3.0
2,23,previous,3.0,3.0
2,24,accept,5.0,5.0
2,25,reject,5.0,5.0
2,26,selectSingle,4.0,2.0
3,0,pan,5.0,5.0
3,1,pan,4.0,4.0
3,2,pan,4.0,4.0
3,3,pan,3.0,3.0
3,4,ZoomIn,5.0,5.0
3,5,ZoomOut,4.0,4.0
3,6,rotate45,2.0,3.0
3,8,pitch,3.0,2.0
3,9,resetView,2.0,4.0
3,10,addMarker,2.0,1.0
3,11,removeMarker,4.0,4.0
3,12,showMenu,5.0,4.0
3,13,hideMenu,4.0,5.0
3,14,showHelp,5.0,5.0
3,15,hideHelp,5.0,5.0
3,16,showSearch,5.0,5.0
3,17,hideSearch,5.0,5.0
3,18,locateion,4.0,4.0
3,19,satelite,5.0,5.0
3,20,streets,5.0,5.0
3,21,measureDistance,4.0,4.0
3,22,next,2.0,3.0
3,23,previous,2.0,3.0
3,24,accept,4.0,5.0
3,25,reject,2.0,3.0
3,26,selectSingle,2.0,5.0
4,0,pan,5.0,5.0
4,1,pan,5.0,5.0
4,2,pan,5.0,5.0
4,3,pan,5.0,5.0
4,4,ZoomIn,5.0,5.0
4,5,ZoomOut,5.0,5.0
4,6,rotate45,5.0,5.0
4,8,pitch,5.0,5.0
4,9,resetView,4.0,5.0
4,10,addMarker,5.0,5.0
4,11,removeMarker,5.0,5.0
4,12,showMenu,5.0,5.0
4,13,hideMenu,5.0,5.0
4,14,showHelp,5.0,5.0
4,16,showSearch,5.0,5.0
4,17,hideSearch,5.0,5.0
4,18,locateion,4.0,5.0
4,19,satelite,5.0,5.0
4,20,streets,4.0,5.0
4,21,measureDistance,4.0,5.0
4,22,next,5.0,5.0
4,23,previous,5.0,5.0
4,24,accept,4.0,4.0
4,25,reject,5.0,5.0
4,26,selectSingle,5.0,5.0
5,0,pan,5.0,5.0
5,1,pan,5.0,5.0
5,2,pan,2.0,4.0
5,3,pan,5.0,5.0
5,4,ZoomIn,5.0,5.0
