Tag,Agreement
pan1,0.03103913630229419
showSearch,0.11695906432748537
hideSearch,0.09558823529411764
ZoomIn,0.11695906432748537
showMenu,0.16959064327485376
hideMenu,0.2380952380952381
showHelp,0.12280701754385964
hideHelp,0.196078431372549
resetView,0.014705882352941152
satelite,0.0058479532163742826
streets,0.0
location,0.026143790849673193
rotate45,0.026315789473684237
reject,0.3986928104575164
pitch,0.006535947712418305
ZoomOut,0.10526315789473684
selectSingle,0.0196078431372549
accept,0.30718954248366015
next,0.009523809523809532
previous,0.028571428571428595
measureDistance,0.008333333333333331
addMarker,0.009523809523809532
removeMarker,0.0058479532163742826
,0.08953129922977816
