Tag,Command,Einigung
0,kart nach verschieb x,0.16666666666666666
16,such,0.2777777777777778
17,schliess such,0.269757470807405
4,reinzoom,0.2777777777777778
12,menu oeffn,0.33333333333333337
13,menu schliess,0.3804665424286897
14,hilf,0.41880084008895463
15,hilf schliess,0.43588812915097663
9,kart die dreh,0.09833185200543157
19,satellitenansicht wechsel zur,0.05555555555555555
20,ansicht kart die gezeichnet veraend zu,0.0
18,bin ich wo,0.12429496027486303
6,kart dreh,0.1111111111111111
25,ablehn,0.5555555555555556
8,kart die neig,0.05555555555555555
5,rauszoom,0.22222222222222224
26,ergebnis auswaehl x,0.05555555555555555
24,akzepti,0.4444444444444444
22,weiter,0.08588626879206875
23,zurueck,0.1522621277123517
21,entfern mess,0.05555555555555555
10,standort marki,0.05555555555555555
11,ziel loesch,0.05555555555555555
