Tag,Guessability
pan1,0.5384615384615384
showSearch,0.5789473684210527
hideSearch,0.5294117647058824
ZoomIn,0.5789473684210527
showMenu,0.65
hideMenu,0.7142857142857143
showHelp,0.55
hideHelp,0.625
previous,0.5625
resetView,0.5238095238095238
satelite,0.55
streets,0.5294117647058824
location,0.5555555555555556
rotate45,0.5625
reject,0.6111111111111112
pitch,0.5555555555555556
ZoomOut,0.5789473684210527
selectSingle,0.5555555555555556
accept,0.7777777777777778
next,0.5333333333333333
measureDistance,0.5625
addMarker,0.5333333333333333
removeMarker,0.5263157894736842
