Tag,Guessability
pan1,0.5294117647058824
showSearch,0.5416666666666666
hideSearch,0.5833333333333334
ZoomIn,0.5333333333333333
showMenu,0.6153846153846154
hideMenu,0.6666666666666666
showHelp,0.5185185185185185
hideHelp,0.5416666666666666
previous,0.52
resetView,0.5333333333333333
satelite,0.5238095238095238
streets,0.5416666666666666
location,0.5333333333333333
rotate45,0.5454545454545454
reject,0.55
pitch,0.5217391304347826
ZoomOut,0.5769230769230769
selectSingle,0.5238095238095238
accept,0.6521739130434783
next,0.5416666666666666
measureDistance,0.5238095238095238
addMarker,0.5238095238095238
removeMarker,0.5185185185185185
